Cycle start time,Cycle end time,Cycle timezone,Workout start time,Workout end time,Duration (min),Activity name,Activity Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),HR Zone 1 %,HR Zone 2 %,HR Zone 3 %,HR Zone 4 %,HR Zone 5 %,GPS enabled,Distance (meters),Altitude gain (meters),Altitude change (meters)
2023-01-06 23:18:46,2023-01-07 23:44:17,UTC+11:00,2023-01-07 16:00:00,2023-01-07 18:00:00,120,Water Polo,14.8,975.0,184,125,16,40,24,14,2,false,,,
2023-01-05 22:10:08,2023-01-06 23:18:46,UTC+11:00,2023-01-06 15:15:09,2023-01-06 16:30:09,75,Water Polo,5.5,186.0,148,92,22,11,3,0,0,false,,,
2023-01-05 22:10:08,2023-01-06 23:18:46,UTC+11:00,2023-01-06 09:45:22,2023-01-06 11:15:22,90,Water Polo,13.0,744.0,160,127,12,34,48,6,0,false,,,
2023-01-01 05:57:53,2023-01-02 03:07:46,UTC-08:00,2023-01-01 18:30:21,2023-01-01 22:50:29,260,Dance,14.1,1361.0,142,112,43,52,5,0,0,false,,,
2022-12-31 00:38:06,2023-01-01 05:57:53,UTC-08:00,2022-12-31 18:31:13,2023-01-01 00:30:00,358,Dance,17.7,2560.0,150,121,8,73,19,0,0,false,,,
2022-12-28 00:01:51,2022-12-29 00:29:20,UTC-08:00,2022-12-28 14:45:03,2022-12-28 15:26:17,41,Weightlifting,5.3,132.0,134,99,44,31,0,0,0,false,,,
2022-12-26 23:53:01,2022-12-28 00:01:51,UTC-08:00,2022-12-27 12:03:12,2022-12-27 12:48:20,45,Spin,16.9,675.0,191,161,2,8,11,18,59,false,,,
2022-12-26 00:37:49,2022-12-26 23:53:01,UTC-08:00,2022-12-26 15:44:22,2022-12-26 16:21:44,37,Weightlifting,6.2,180.0,143,108,38,45,8,0,0,false,,,
2022-12-24 22:43:29,2022-12-26 00:37:49,UTC-08:00,2022-12-25 12:51:46,2022-12-25 13:06:48,15,Weightlifting,5.0,82.0,152,115,26,53,21,0,0,false,,,
2022-12-24 22:43:29,2022-12-26 00:37:49,UTC-08:00,2022-12-25 12:15:28,2022-12-25 12:50:34,35,Spin,15.0,515.0,186,161,2,5,12,26,55,false,,,
