Cycle start time,Cycle end time,Cycle timezone,Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %,Nap
2023-05-05 05:18:45,2023-05-06 05:18:45,UTC-04:00,2023-05-05 05:18:45,2023-05-05 10:12:55,43,14.8,271,294,97,74,100,23,628,115,92,59,false
2023-05-04 02:10:08,2023-05-05 05:18:45,UTC-04:00,2023-05-04 02:10:08,2023-05-04 08:54:51,62,14.8,372,404,173,91,108,32,604,118,92,,false
2023-05-03 01:58:34,2023-05-04 02:10:08,UTC-04:00,2023-05-03 01:58:34,2023-05-03 09:34:42,61,13.8,390,456,154,132,104,66,639,141,85,,false
2023-05-02 04:20:20,2023-05-03 01:58:34,UTC-04:00,2023-05-02 04:20:20,2023-05-02 09:00:04,40,15.1,250,280,133,50,67,30,623,125,89,,false
2023-04-28 04:37:13,2023-04-29 04:37:13,UTC-04:00,2023-04-28 04:37:13,2023-04-28 09:56:17,47,15.0,283,319,188,64,31,36,607,118,88,64,false
2023-04-27 02:17:34,2023-04-28 04:37:13,UTC-04:00,2023-04-27 02:17:34,2023-04-27 09:25:57,61,14.2,372,428,248,77,47,56,610,109,87,58,false
2023-04-25 02:08:27,2023-04-27 02:17:34,UTC-04:00,2023-04-25 02:08:27,2023-04-25 09:39:18,64,14.7,390,445,242,76,72,55,615,120,89,70,false
2023-04-24 01:33:06,2023-04-25 02:08:27,UTC-04:00,2023-04-24 01:33:06,2023-04-24 07:52:20,49,14.2,288,378,169,50,69,90,586,108,76,63,false
2023-04-23 04:33:19,2023-04-24 01:33:06,UTC-04:00,2023-04-23 04:33:19,2023-04-23 10:29:29,54,15.3,320,356,152,84,84,36,591,115,89,57,false
2023-04-22 02:39:22,2023-04-23 04:33:19,UTC-04:00,2023-04-22 02:39:22,2023-04-22 09:41:23,62,15.1,348,420,168,64,116,72,560,85,83,58,false
